Date,Open,High,Low,Close,Volume,MA_30,Daily_Return
2014-09-17,465.86,468.17,452.42,457.33,21056800,,
2014-09-18,456.86,456.86,413.10,424.44,34483200,,-0.07191743380053783
2014-09-19,424.10,427.83,384.53,394.8,37919700,,-0.06983319197059656
2014-09-20,394.67,423.30,389.88,408.9,36863600,,0.03571428571428559
2014-09-21,408.08,412.43,393.18,398.82,26580100,,-0.02465150403521643
2014-09-22,399.10,406.92,397.13,402.15,24127600,,0.008349631412667424
2014-09-23,402.09,441.56,396.20,435.79,45099500,,0.08365037921173712
2014-09-24,435.75,436.11,421.13,423.2,30627700,,-0.02889006172697861
2014-09-25,423.16,423.52,409.47,411.57,26814400,,-0.02748109640831753
2014-09-26,411.43,414.94,400.01,404.42,21460800,,-0.017372500425201
2014-09-27,403.56,406.62,397.37,399.52,15029300,,-0.012116116908164831
2014-09-28,399.47,401.02,374.33,377.18,23613300,,-0.05591710052062471
2014-09-29,376.93,385.21,372.24,375.47,32497700,,-0.004533644413807658
2014-09-30,376.09,390.98,373.44,386.94,34707300,,0.03054837936452981
2014-10-01,387.43,391.38,380.78,383.61,26229400,,-0.00860598542409674
2014-10-02,383.99,385.50,372.95,375.07,21777700,,-0.022262193373478345
2014-10-03,375.18,377.70,357.86,359.51,30901200,,-0.041485589356653474
2014-10-04,359.89,364.49,325.89,328.87,47236500,,-0.08522711468387523
2014-10-05,328.92,341.80,289.30,320.51,83308096,,-0.025420378873110994
2014-10-06,320.39,345.13,302.56,330.08,79011800,,0.02985866275623228
2014-10-07,330.58,339.25,320.48,336.19,49199900,,0.018510664081434758
2014-10-08,336.12,354.36,327.19,352.94,54736300,,0.049823016746482596
2014-10-09,352.75,382.73,347.69,365.03,83641104,,0.034255114183713964
2014-10-10,364.69,375.07,352.96,361.56,43665700,,-0.009506067994411338
2014-10-11,361.36,367.19,355.95,362.3,13345200,,0.00204668658037388
2014-10-12,362.61,379.43,356.14,378.55,17552800,,0.04485233232128061
2014-10-13,377.92,397.23,368.90,390.41,35221400,,0.03133007528728049
2014-10-14,391.69,411.70,391.32,400.87,38491500,,0.026792346507517717
2014-10-15,400.95,402.23,388.77,394.77,25267100,,-0.015216903235462875
2014-10-16,394.52,398.81,373.07,382.56,26990000,384.112,-0.030929401930237854
2014-10-17,382.76,385.48,375.39,383.76,13600700,381.6596666666667,0.0031367628607277265
2014-10-18,383.98,395.16,378.97,391.44,11416800,380.55966666666666,0.02001250781738584
2014-10-19,391.25,393.94,386.46,389.55,5914570,380.3846666666667,-0.004828326180257525
2014-10-20,389.23,390.08,378.25,382.85,16419000,379.5163333333333,-0.01719933256321393
2014-10-21,382.42,392.65,380.83,386.48,14188900,379.10499999999996,0.009481520177615277
2014-10-22,386.12,388.58,382.25,383.16,11641300,378.472,-0.008590353963982555
2014-10-23,382.96,385.05,356.45,358.42,26456900,375.89300000000003,-0.06456832654765632
2014-10-24,358.59,364.35,353.30,358.35,15585700,373.73133333333334,-0.00019530160147307463
2014-10-25,358.61,359.86,342.88,347.27,18127500,371.58799999999997,-0.030919492116645797
2014-10-26,347.49,359.22,343.93,354.7,11272500,369.9306666666667,0.021395455985256495
2014-10-27,354.78,358.63,349.81,352.99,13033000,368.37966666666665,-0.004820975472230038
2014-10-28,353.21,359.98,352.68,357.62,7845880,367.72766666666666,0.01311651888155474
2014-10-29,357.09,357.83,335.34,335.59,18192700,366.39833333333337,-0.0616017001286282
2014-10-30,335.71,350.91,335.07,345.3,30177900,365.01033333333334,0.028934116034446955
2014-10-31,345.01,348.05,337.14,338.32,12545400,363.5006666666667,-0.020214306400231696
2014-11-01,338.65,340.53,321.05,325.75,16677200,361.8566666666667,-0.037154173563490156
2014-11-02,326.08,329.05,320.63,325.89,8603620,360.736,0.00042977743668459745
2014-11-03,325.57,334.00,325.48,327.55,12948500,360.692,0.005093743287612362
2014-11-04,327.16,331.77,325.08,330.49,15655500,361.02466666666663,0.008975728896351676
2014-11-05,330.68,343.37,330.68,339.49,19817200,361.3383333333333,0.027232291446034784
2014-11-06,339.46,352.97,338.42,349.29,18797000,361.775,0.028866829656249093
2014-11-07,349.82,352.73,341.78,342.42,16834200,361.4243333333334,-0.01966847032551744
2014-11-08,342.15,347.03,342.15,345.49,8535470,360.773,0.00896559780386652
2014-11-09,345.38,363.63,344.26,363.26,24205600,360.8296666666667,0.05143419491157486
2014-11-10,362.27,374.82,357.56,366.92,30450100,360.9836666666667,0.010075428068050396
2014-11-11,365.86,371.31,363.73,367.7,15838900,360.622,0.0021258039899705317
2014-11-12,367.98,429.72,367.98,423.56,45783200,361.727,0.15191732390535773
2014-11-13,427.27,457.09,401.12,420.73,58945000,362.389,-0.00668146189441865
2014-11-14,418.42,419.25,384.79,397.82,29589200,362.4906666666667,-0.054452974591781
2014-11-15,399.65,405.53,371.01,376.13,15727500,362.2763333333333,-0.054522145694032464
2014-11-16,374.73,390.80,374.60,387.88,11905600,362.41366666666664,0.031239199213038082
2014-11-17,388.35,410.20,377.50,387.41,41518800,362.27933333333334,-0.0012117149633906754
2014-11-18,387.79,392.40,371.12,375.2,32222500,361.801,-0.031516997496192745
2014-11-19,373.90,386.48,373.90,380.55,18931800,361.7243333333334,0.014259061833688857
2014-11-20,380.31,382.02,356.78,357.84,25233200,360.7696666666667,-0.05967678360268047
2014-11-21,357.88,357.88,344.11,350.85,29850100,359.69266666666664,-0.01953386988598238
2014-11-22,351.60,364.84,350.88,352.92,15273000,359.5093333333333,0.005899957246686682
2014-11-23,353.17,370.85,353.17,367.57,15151600,359.81666666666666,0.04151082398277217
2014-11-24,366.95,387.21,366.67,376.9,30930100,360.8043333333334,0.025382920260086372
2014-11-25,376.89,394.70,374.78,375.35,25442200,361.4926666666667,-0.004112496683470246
2014-11-26,376.02,377.70,365.82,368.37,18601700,362.00533333333334,-0.018595977088051163
2014-11-27,370.50,373.99,368.28,369.67,8748030,362.407,0.003529060455520261
2014-11-28,369.37,382.84,358.45,376.45,22946500,363.769,0.018340682230097105
2014-11-29,376.15,387.60,372.14,375.49,15375600,364.7753333333333,-0.002550139460751666
2014-11-30,375.51,382.53,373.31,378.05,9194440,366.0996666666667,0.006817758129377571
2014-12-01,378.25,383.66,376.67,379.24,11763000,367.88266666666664,0.003147731781510288
2014-12-02,379.25,384.04,377.86,381.32,12364100,369.73033333333336,0.005484653517561444
2014-12-03,381.72,383.03,374.35,375.01,13340100,371.3123333333333,-0.016547781390957694
2014-12-04,375.72,378.65,367.76,369.6,14529600,372.616,-0.014426281965814192
2014-12-05,369.44,379.19,365.76,376.85,15181800,373.86133333333333,0.019615800865800948
2014-12-06,376.76,378.45,370.95,374.79,7009320,374.71133333333336,-0.005466365928088135
2014-12-07,374.84,376.29,373.27,375.1,6491650,375.80066666666664,0.0008271298593878207
2014-12-08,374.96,376.03,361.89,361.91,18898700,376.34799999999996,-0.0351639562783258
2014-12-09,361.89,363.07,344.95,352.22,32915500,375.97999999999996,-0.026774612472714177
2014-12-10,352.20,352.38,346.36,346.36,16427700,375.29466666666667,-0.01663732894213843
2014-12-11,344.34,361.36,338.76,350.51,32431300,374.72166666666664,0.011981753089271185
2014-12-12,350.83,352.98,349.29,352.54,16989800,372.3543333333334,0.005791560868448897
2014-12-13,352.38,352.38,346.59,347.38,11675900,369.9093333333333,-0.014636636977364392
2014-12-14,346.73,353.32,345.42,351.63,12415200,368.36966666666666,0.012234440670159552
2014-12-15,351.36,351.82,344.93,345.35,17264200,367.3436666666667,-0.017859682052157044
2014-12-16,345.67,345.86,327.06,327.06,30864900,365.3163333333333,-0.05296076444187059
2014-12-17,326.86,333.95,315.15,319.78,37567900,363.062,-0.022258912737724068
2014-12-18,319.79,323.71,304.23,311.4,39173000,360.9353333333334,-0.026205516292451048
2014-12-19,311.18,318.53,306.77,317.84,23823100,358.845,0.020680796403339752
2014-12-20,317.62,330.33,316.04,329.96,20856700,357.91566666666665,0.038132393657186014
2014-12-21,329.54,329.63,318.90,320.84,15207600,356.9153333333333,-0.027639713904715757
2014-12-22,321.07,334.12,320.42,331.89,22315100,356.21433333333334,0.034440842787682335
2014-12-23,332.02,336.29,329.60,334.57,16574200,355.1143333333333,0.00807496459670376
2014-12-24,334.39,334.74,321.36,322.53,15092300,353.30199999999996,-0.035986490121648784
2014-12-25,322.29,322.67,316.96,319.01,9883640,351.424,-0.010913713453012064
2014-12-26,319.15,331.42,316.63,327.92,16410500,350.0756666666667,0.027930158929187154
2014-12-27,327.58,328.91,312.63,315.86,15185200,348.28200000000004,-0.03677726274701143
2014-12-28,316.16,320.03,311.08,317.24,11676600,346.30833333333334,0.0043690242512506305
2014-12-29,317.70,320.27,312.31,312.67,12302500,344.21433333333334,-0.014405497415206137
2014-12-30,312.72,314.81,309.37,310.74,12528300,341.9706666666667,-0.006172642082707069
2014-12-31,310.91,320.19,310.21,320.19,13942900,340.0023333333334,0.030411276308167645
2015-01-01,320.43,320.43,314.00,314.25,8036550,337.76666666666665,-0.018551485055748107
2015-01-02,314.08,315.84,313.57,315.03,7860650,335.76733333333334,0.002482100238663465
2015-01-03,314.85,315.15,281.08,281.08,33054400,332.81666666666666,-0.1077675142049963
2015-01-04,281.15,287.23,257.61,264.2,55629100,329.06166666666667,-0.06005407713106592
2015-01-05,265.08,278.34,265.08,274.47,43962800,325.7176666666666,0.03887206661619991
2015-01-06,274.61,287.55,272.70,286.19,23245700,322.754,0.0427004772834918
2015-01-07,286.08,298.75,283.08,294.34,24866800,320.50166666666667,0.028477584821272606
2015-01-08,294.14,294.14,282.17,283.35,19982500,318.206,-0.03733777264388105
2015-01-09,282.38,291.11,280.53,290.41,18718600,316.341,0.024916181401094084
2015-01-10,287.30,288.13,273.97,274.8,15264300,313.81733333333335,-0.05375159257601325
2015-01-11,274.61,279.64,265.04,265.66,18200800,310.92133333333334,-0.033260553129548676
2015-01-12,266.15,272.20,265.20,267.8,18880300,308.2686666666667,0.008055409169615224
2015-01-13,267.39,268.28,219.91,225.86,72843904,304.0763333333333,-0.1566094100074682
2015-01-14,223.89,223.89,171.51,178.1,97638704,298.5013333333333,-0.21145842557336414
2015-01-15,176.90,229.07,176.90,209.84,81773504,294.594,0.1782144862436834
2015-01-16,209.07,221.59,199.77,208.1,38421000,290.8713333333333,-0.008292032024399543
2015-01-17,207.83,211.73,194.88,199.26,23469700,287.1333333333333,-0.04247957712638162
2015-01-18,200.05,218.70,194.51,210.34,30085100,283.55,0.05560574124259765
2015-01-19,211.47,216.73,207.32,214.86,18658300,279.7133333333333,0.021489017780736086
2015-01-20,212.91,215.24,205.15,211.32,24051100,276.0626666666667,-0.016475844736107303
2015-01-21,211.38,227.79,211.21,226.9,29924600,272.563,0.07372704902517513
2015-01-22,227.32,237.02,226.43,233.41,33544600,269.19100000000003,0.028691053327456917
2015-01-23,233.52,234.85,225.20,232.88,24621700,266.2026666666667,-0.0022706824900390332
2015-01-24,232.70,248.21,230.02,247.85,24782500,263.8306666666667,0.06428203366540708
2015-01-25,247.35,255.07,243.89,253.72,33582700,261.3573333333333,0.023683679644946665
2015-01-26,254.08,309.38,254.08,273.47,106794000,259.9443333333333,0.07784171527668304
2015-01-27,273.17,275.48,250.65,263.48,44399000,258.15233333333333,-0.0365305152301898
2015-01-28,263.35,266.54,227.05,233.91,44352200,255.527,-0.11222863215424328
2015-01-29,233.35,238.71,220.71,233.51,32213400,252.95266666666666,-0.0017100594245650358
2015-01-30,232.77,242.85,225.84,226.43,26605200,249.82733333333334,-0.03031990064665313
2015-01-31,226.44,233.50,216.31,217.46,23348200,246.60100000000003,-0.03961489201960866
2015-02-01,216.87,231.57,212.01,226.97,29128500,243.66566666666668,0.04373218063092055
